ep,avg_latency_ms,place_rate,fo_hit_rate,rel_pred_avg,emp_avail,avg_cost_total,attempted,placed,fo_cnt,fo_hit,fo_miss,cost_norm,lat_norm,topo_size,sfc_len_group
0,4.328415,0.375358,0.433333,0.998232,0.229226,13.720583,349,131,90,39,51,0.34963300272676684,0.44498644060551806,,
1,4.317709,0.348571,0.364706,0.99826,0.194286,14.089487,350,122,85,31,54,0.3693883098219843,0.4325482723976419,,
2,4.264,0.367052,0.280374,0.998198,0.144509,14.060649,346,127,107,30,77,0.36784400505484127,0.3701468249953155,,
3,4.308005,0.366391,0.373494,0.998188,0.22314,13.892842,363,133,83,31,52,0.35885770677259227,0.42127380406208315,,
4,4.186333,0.380117,0.417722,0.998284,0.245614,13.720559,342,130,79,33,46,0.3496317147553091,0.27991040151715074,,
5,4.228869,0.362275,0.459016,0.998292,0.263473,13.925347,334,121,61,28,33,0.3605983909288806,0.32933088063605054,,
6,4.178599,0.353116,0.35443,0.998255,0.20178,14.007166,337,119,79,28,51,0.36497991047676076,0.2709253150208694,,
7,4.203123,0.34375,0.289157,0.998218,0.190104,14.088769,384,132,83,24,59,0.3693498633758897,0.2994179898611114,,
8,4.173594,0.354749,0.35,0.998231,0.209497,14.068973,358,127,80,28,52,0.36828977610369223,0.2651098075257669,,
9,4.396851,0.359195,0.348315,0.998175,0.192529,14.418403,348,125,89,31,58,0.38700222080629487,0.5244977210284851,,
10,4.103344,0.331395,0.305085,0.998244,0.212209,14.249265,344,114,59,18,41,0.37794465257852794,0.1834909726183307,,
11,4.336848,0.338983,0.432099,0.998202,0.20904,13.708047,354,120,81,35,46,0.3489616969546506,0.45478427374640934,,
12,4.332821,0.337017,0.333333,0.998191,0.176796,14.426518,362,122,87,29,58,0.3874367882041287,0.45010508453121045,,
13,4.382536,0.320442,0.493506,0.998192,0.212707,14.252133,362,116,77,38,39,0.37809825216137105,0.5078656001911647,,
14,4.263167,0.356083,0.333333,0.998137,0.243323,13.783389,337,120,57,19,38,0.35299634964129234,0.3691791956427257,,
15,4.186893,0.39403,0.305556,0.998248,0.244776,14.122032,335,132,72,22,50,0.3711311445144855,0.2805610876981593,,
16,4.531355,0.326316,0.413462,0.998129,0.165789,14.440949,380,124,104,43,61,0.38820962731622377,0.6807689022383323,,
17,4.189158,0.386503,0.33871,0.998276,0.260736,14.381349,326,126,62,21,41,0.38501794284500684,0.2831933059644593,,
18,4.447257,0.315508,0.382353,0.998156,0.203209,14.645099,374,118,68,26,42,0.3991421076532824,0.5830617163807139,,
19,4.217279,0.345404,0.359551,0.998214,0.18663,13.899784,359,124,89,32,57,0.3592294890291001,0.31586490058855204,,
20,4.382653,0.353623,0.483871,0.998151,0.26087,14.571115,345,122,62,30,32,0.3951801696849845,0.5080022280696529,,
21,4.200525,0.355685,0.325843,0.998223,0.180758,14.205479,343,122,89,29,60,0.3755998538837906,0.29639934594891804,,
22,4.037274,0.352601,0.380952,0.998307,0.239884,13.490778,346,122,63,24,39,0.3373266569481748,0.10672923173085161,,
23,4.461491,0.361516,0.341772,0.998118,0.209913,14.193804,343,124,79,27,52,0.3749746573916276,0.599598731478948,,
24,4.124487,0.359281,0.368421,0.998326,0.215569,14.394872,334,120,76,28,48,0.38574215180747384,0.20805556261905397,,
25,4.289282,0.301724,0.529412,0.998253,0.232759,14.144328,348,105,51,27,24,0.3723251261374107,0.3995208518916122,,
26,4.256956,0.357357,0.436364,0.998198,0.264264,13.984385,333,119,55,24,31,0.36375998847619045,0.36196275170542813,,
27,4.21439,0.363112,0.35,0.998254,0.25072,13.839825,347,126,60,21,39,0.3560186098230005,0.31250834838540315,,
28,4.305799,0.374286,0.337349,0.998183,0.217143,14.011684,350,131,83,28,55,0.36522187074740253,0.41871056348643687,,
29,4.24192,0.352941,0.410526,0.998206,0.179567,14.127894,323,114,95,39,56,0.3714450629210987,0.3444936919407999,,
