steps,BEAR-SFC,PRANOS,MP-DCBJOH,SBD,OPTSEP,DRL
100,0.8139100333333334,0.2976855333333333,0.7459358666666668,0.7593889333333333,0.7267300000000001,0.6262697333333332
200,0.5741215000000001,0.069671,0.5030965333333334,0.4999200666666666,0.4748236333333333,0.3663200333333333
300,0.3850607999999999,0.0969299666666666,0.3525545,0.3507534666666665,0.3237868666666667,0.2322197999999999
400,0.3052165,0.0419654999999999,0.2857636666666666,0.2749671666666666,0.2539289333333333,0.1778873333333333
500,0.2498176333333333,0.0438536,0.2368212,0.2325850666666666,0.2114837666666666,0.1476977333333333
600,0.2418505999999999,0.0433736999999999,0.2220620333333333,0.2257918,0.2077159666666666,0.1443712
700,0.2418315666666666,0.0369516666666666,0.2153606666666666,0.2267712999999999,0.2021239333333333,0.1405344666666666
800,0.2280672666666667,0.0284104,0.2113353,0.2141364333333333,0.1931387333333333,0.1320188333333333
900,0.1981579,0.0196067999999999,0.1875845333333333,0.1943004666666666,0.1725646,0.1150986333333333
1500,0.1732444,0.0187032666666666,0.1609822333333333,0.1712815,0.1506088666666666,0.0940750333333333
2000,0.1597936,0.0112868666666666,0.1498609,0.1634574333333333,0.1427771333333333,0.0874908333333333
